,base,clouds,cod,coord,dt,id,main,name,rain,snow,sys,timezone,visibility,weather,wind
23,model,{'all': 100},200,"{'lon': -37.64, 'lat': 65.61}",1572928873,3424607,"{'temp': 268.33, 'pressure': 1016, 'humidity': 65, 'temp_min': 268.33, 'temp_max': 268.33, 'sea_level': 1016, 'grnd_level': 1013}",Tasiilaq,,,"{'country': 'GL', 'sunrise': 1572950159, 'sunset': 1572976336}",-10800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 12.93, 'deg': 51}"
24,model,{'all': 56},200,"{'lon': 38.73, 'lat': 8.96}",1572928873,344979,"{'temp': 288.49, 'pressure': 1018, 'humidity': 68, 'temp_min': 288.49, 'temp_max': 288.49, 'sea_level': 1018, 'grnd_level': 773}",Lebu,,,"{'country': 'ET', 'sunrise': 1572923713, 'sunset': 1572966124}",10800,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 1.3, 'deg': 151}"
25,stations,{'all': 75},200,"{'lon': 10.79, 'lat': 45.16}",1572928874,3174050,"{'temp': 285.51, 'pressure': 997, 'humidity': 93, 'temp_min': 284.26, 'temp_max': 286.48}",Mantua,{'1h': 3.05},,"{'type': 1, 'id': 6776, 'country': 'IT', 'sunrise': 1572933627, 'sunset': 1572969621}",3600,6000.0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]","{'speed': 2.1, 'deg': 90}"
26,stations,{'all': 90},200,"{'lon': -97.86, 'lat': 55.74}",1572928875,6165406,"{'temp': 261.15, 'pressure': 1018, 'humidity': 72, 'temp_min': 261.15, 'temp_max': 261.15}",Thompson,,,"{'type': 1, 'id': 935, 'country': 'CA', 'sunrise': 1572875010, 'sunset': 1572907587}",-21600,24140.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 4.1, 'deg': 320}"
27,stations,{'all': 100},200,"{'lon': 8.97, 'lat': 56.14}",1572928876,2620425,"{'temp': 277.66, 'pressure': 997, 'humidity': 86, 'temp_min': 276.48, 'temp_max': 279.26}",Herning,{'3h': 0.13},,"{'type': 1, 'id': 1579, 'country': 'DK', 'sunrise': 1572935949, 'sunset': 1572968173}",3600,10000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 5.7, 'deg': 40}"
28,stations,{'all': 40},200,"{'lon': -59.52, 'lat': 13.22}",1572928877,3374083,"{'temp': 300.15, 'pressure': 1012, 'humidity': 74, 'temp_min': 300.15, 'temp_max': 300.15}",Bathsheba,,,"{'type': 1, 'id': 8772, 'country': 'BB', 'sunrise': 1572947591, 'sunset': 1572989407}",-14400,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 9.3, 'deg': 90}"
29,stations,{'all': 75},200,"{'lon': -68.52, 'lat': 63.75}",1572928877,5983720,"{'temp': 263.15, 'pressure': 1007, 'humidity': 85, 'temp_min': 263.15, 'temp_max': 263.15}",Iqaluit,,,"{'type': 1, 'id': 797, 'country': 'CA', 'sunrise': 1572870214, 'sunset': 1572898300}",-18000,24140.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 6.7, 'deg': 320}"
30,stations,{'all': 100},200,"{'lon': 168.86, 'lat': -46.19}",1572928878,6201424,"{'temp': 285.37, 'pressure': 1009, 'humidity': 86, 'temp_min': 285.37, 'temp_max': 285.37}",Mataura,{'3h': 1.56},,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1572887756, 'sunset': 1572939617}",46800,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 3.58, 'deg': 225, 'gust': 6.71}"
31,model,{'all': 91},200,"{'lon': 29.47, 'lat': 0.49}",1572928879,219057,"{'temp': 295.3, 'pressure': 1015, 'humidity': 69, 'temp_min': 295.3, 'temp_max': 295.3, 'sea_level': 1015, 'grnd_level': 899}",Beni,,,"{'country': 'CD', 'sunrise': 1572925367, 'sunset': 1572968915}",7200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 0.77, 'deg': 108}"
32,stations,{'all': 75},200,"{'lon': -126.83, 'lat': 65.28}",1572928879,6089245,"{'temp': 265.15, 'pressure': 1036, 'humidity': 85, 'temp_min': 265.15, 'temp_max': 265.15}",Norman Wells,,,"{'type': 1, 'id': 951, 'country': 'CA', 'sunrise': 1572884858, 'sunset': 1572911646}",-25200,24140.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 4.6, 'deg': 280, 'gust': 7.7}"
